dato,datetime,air_temp_avg,air_temp_min,surface_temp_avg,surface_temp_min,temp_diff,wind_avg,wind_max,gust_max,precip_total,precip_duration,snow_depth,snow_change,humidity_avg,dew_point_avg,scenario
15. mars 2023,2023-03-15 05:34:00,-4.816666666666666,-5.0,-5.983333333333333,-7.7,1.166666666666667,1.0166666666666666,1.6,3.4,0.1,81.0,67.18333333333332,-0.20000000000000284,94.66666666666667,-5.666666666666667,ANNET
17. mars 2023,2023-03-17 07:22:00,1.9333333333333336,1.7,0.2833333333333334,0.2,1.6500000000000001,4.633333333333333,6.0,10.7,3.2,282.0,60.25,-0.29999999999999716,90.33333333333333,0.4000000000000001,ANNET
17. mars 2023,2023-03-17 06:02:00,1.8500000000000003,1.5,0.25,0.2,1.6000000000000003,5.183333333333334,6.8,13.3,3.2,239.0,60.349999999999994,-0.5,88.66666666666667,0.033333333333333305,ANNET
17. mars 2023,2023-03-17 13:33:00,3.5666666666666664,2.6,0.8666666666666666,0.6,2.6999999999999997,2.9000000000000004,4.0,6.7,6.800000000000001,299.0,58.833333333333336,-1.7999999999999972,91.66666666666667,2.2666666666666666,SLAPS
24. mars 2023,2023-03-24 12:06:00,2.9333333333333336,2.5,0.5833333333333334,0.5,2.35,4.183333333333333,5.5,9.8,0.0,21.0,44.13333333333333,-0.19999999999999574,76.16666666666667,-1.0666666666666667,ANNET
22. nov. 2023,2023-11-22 08:08:00,-0.2166666666666667,-0.5,-0.6499999999999999,-1.4,0.43333333333333324,2.766666666666666,3.5,7.0,9.8,332.0,7.650000000000001,7.800000000000001,93.5,-1.2500000000000002,NYSNØ
24. nov. 2023,2023-11-24 07:20:00,-2.8833333333333333,-3.1,-3.25,-3.7,0.3666666666666667,5.45,7.9,14.5,5.5,352.0,18.083333333333332,3.299999999999997,94.5,-3.6666666666666665,NYSNØ
24. nov. 2023,2023-11-24 05:39:00,-2.9,-3.1,-3.25,-3.7,0.3500000000000001,6.199999999999999,7.9,14.5,8.5,352.0,16.233333333333334,6.900000000000002,94.33333333333333,-3.6666666666666665,NYSNØ
27. nov. 2023,2023-11-27 05:14:00,-2.9499999999999997,-3.4,-5.3500000000000005,-5.9,2.400000000000001,8.083333333333334,9.8,14.8,0.0,0.0,10.9,-6.1,70.66666666666667,-7.6000000000000005,SNØFOKK
3. des. 2023,2023-12-03 05:39:00,-3.6500000000000004,-4.3,-4.216666666666667,-4.8,0.5666666666666664,2.283333333333333,2.5,5.3,7.700000000000001,359.0,36.86666666666667,2.5,93.16666666666667,-4.883333333333334,NYSNØ
8. des. 2023,2023-12-08 06:28:00,-5.066666666666666,-5.2,-7.216666666666666,-7.4,2.1499999999999995,10.883333333333333,12.2,20.0,0.0,0.0,8.1,-1.0999999999999996,70.16666666666667,-9.566666666666668,SNØFOKK
9. des. 2023,2023-12-09 07:07:00,-2.1,-2.6,-4.2,-4.5,2.1,8.1,11.1,17.6,0.0,0.0,6.216666666666666,0.20000000000000018,70.16666666666667,-6.849999999999999,SNØFOKK
10. des. 2023,2023-12-10 09:52:00,0.7166666666666667,0.4,-2.216666666666667,-2.7,2.9333333333333336,7.633333333333333,9.6,16.7,0.0,0.0,5.516666666666667,0.09999999999999964,67.33333333333333,-5.116666666666666,FRYSEFARE
15. des. 2023,2023-12-15 10:57:00,2.3833333333333333,2.1,0.6166666666666667,0.5,1.7666666666666666,2.1166666666666667,2.7,9.5,6.3999999999999995,286.0,9.683333333333335,-1.1000000000000014,97.5,2.033333333333333,SLAPS
15. des. 2023,2023-12-15 16:36:00,2.75,2.6,0.7000000000000001,0.7,2.05,2.4166666666666665,3.1,7.9,7.800000000000001,355.0,8.533333333333333,-1.1999999999999993,97.5,2.4333333333333336,SLAPS
20. des. 2023,2023-12-20 09:57:00,-1.5833333333333333,-2.2,-2.1166666666666667,-2.4,0.5333333333333334,1.1,1.1,5.8,2.2,266.0,30.58333333333333,3.6999999999999993,94.83333333333333,-2.533333333333333,NYSNØ
21. des. 2023,2023-12-21 10:16:00,-0.39999999999999997,-0.7,-0.55,-0.8,0.15000000000000008,1.7833333333333334,2.9,7.8,2.0999999999999996,358.0,52.333333333333336,9.300000000000004,98.66666666666667,-0.6833333333333332,NYSNØ
22. des. 2023,2023-12-22 06:01:00,-4.0,-4.5,-5.2,-6.6,1.2000000000000002,6.45,9.2,18.3,1.6,265.0,26.75,-3.8999999999999986,85.0,-6.550000000000001,SNØFOKK
23. des. 2023,2023-12-23 07:34:00,-3.8333333333333335,-5.0,-6.5,-11.8,2.6666666666666665,2.183333333333333,4.1,9.6,1.7,244.0,35.1,2.200000000000003,93.83333333333333,-5.033333333333333,ANNET
25. des. 2023,2023-12-25 06:16:00,1.1,0.4,0.08333333333333336,-0.1,1.0166666666666668,4.3500000000000005,9.0,15.9,6.000000000000001,360.0,34.46666666666667,0.10000000000000142,96.16666666666667,0.08333333333333336,SLAPS
